sample_name	condition	replicate	cell_type
naive-dox-clone1	xist_dox	rep1	naive
naive-dox-clone2	xist_dox	rep2	naive
naive-dox-clone3	xist_dox	rep3	naive
naive-WT-dox-clone4	wt_dox	rep4	naive
naive-WT-dox-clone5	wt_dox	rep5	naive
naive-untreated-clone1	xist_untreated	rep1	naive
naive-untreated-clone2	xist_untreated	rep2	naive
naive-untreated-clone3	xist_untreated	rep3	naive
naive-WT-untreated-clone4	wt_untreated	rep4	naive
naive-WT-untreated-clone5	wt_untreated	rep5	naive
Naive-WT-rep1	wt	rep1	NAIVE
Naive-WT-rep2	wt	rep2	NAIVE
Primed-WT-rep1	wt	rep1	PRIMED
Primed-WT-rep2	wt	rep2	PRIMED
TSC-WT-rep1	wt	rep1	TSC
TSC-WT-rep2	wt	rep2	TSC
EXMC-WT-rep1	wt	rep1	EXMC
EXMC-WT-rep2	wt	rep2	EXMC
