Distance(µm)	H2AK119ub	Ser5 POLII
0	197.066	180.3
0.21261	295.335	305.994
0.42523	349.333	367.474
0.63784	370.489	355.116
0.85045	409.204	312.505
1.06307	483.755	303.459
1.27568	448.55	292.827
1.48829	412.446	506.491
1.70091	413.86	502.942
1.91352	469.775	300.595
2.12614	533.526	278.204
2.33875	459.597	440.161
2.55136	312.767	553.326
2.76398	206.054	627.565
2.97659	227.56	565.624
3.1892	308.001	407.391
3.40182	344.621	407.864
3.61443	315.978	356.967
3.82704	354.579	334.108
4.03966	347.447	311.542
4.25227	287.9	351.249
4.46488	288.6	430.84
4.6775	304.271	443.92
4.89011	267.637	408.218
5.10273	211.167	364.515
5.31534	226.49	372.076
5.52795	304.205	384.89
5.74057	340.716	398.005
5.95318	295.008	418.366
6.16579	258.371	430.723
6.37841	303.065	411.56
6.59102	358.904	454.655
6.80363	372.829	488.723
7.01625	327.77	409.115
7.22886	279.29	375.953
7.44147	296.06	329.547
7.65409	281.282	163.117
7.8667	165.775	98.213
