Distance(µm)	H2AK119ub	Ser5 POLII
0	40.5422	15.634
0.11161	58.2801	19.657
0.22322	73.8156	26.772
0.33482	94.3492	37.242
0.44643	104.0795	41.029
0.55804	109.1392	41.549
0.66965	106.2836	45.137
0.78126	104.8544	51.378
0.89287	100.9883	53.913
1.00447	103.7322	52.796
1.11608	105.057	63.516
1.22769	110.5158	65.276
1.3393	114.1939	76.414
1.45091	101.4757	87.547
1.56251	93.2314	84.414
1.67412	75.1199	75.613
1.78573	65.4965	66.414
1.89734	58.3486	60.842
2.00895	59.1275	75.741
2.12055	58.2762	95.967
2.23216	53.2196	96.096
2.34377	52.5691	96.203
2.45538	55.0502	97.132
2.56699	54.5643	93.499
2.6786	54.4795	84.178
2.7902	55.8382	91.945
2.90181	48.8637	88.687
3.01342	46.0074	80.248
3.12503	40.9611	70.37
3.23664	33.9821	60.162
3.34824	24.2986	50.72
3.45985	27.2419	46.588
3.57146	29.5685	37.526
3.68307	39.3001	38.493
3.79468	48.161	45.616
3.90629	44.7546	61.87
4.01789	40.4477	62.043
4.1295	33.2578	49.82
4.24111	23.4815	44.279
4.35272	25.064	34.004
4.46433	23.4435	28.641
4.57593	27.5412	28.818
4.68754	18.6097	38.041
4.79915	21.0211	48.598
4.91076	23.0538	67.215
5.02237	22.5854	57.419
5.13398	23.5091	61.854
5.24558	21.031	70.673
5.35719	26.8464	69.311
5.4688	30.2109	73.496
5.58041	26.1771	70.692
5.69202	26.0682	81.805
5.80362	22.5972	97.283
5.91523	20.922	94.396
6.02684	29.6605	96.338
6.13845	36.0515	83.163
6.25006	33.9578	65.643
6.36166	28.8441	68.57
6.47327	21.8494	74.982
6.58488	20.4319	89.93
6.69649	24.3085	88.846
6.8081	26.399	81.158
6.91971	25.971	85.108
7.03131	30.8866	83.088
7.14292	30.3225	81.804
7.25453	29.8882	82.967
7.36614	29.4263	85.259
7.47775	32.7479	94.945
7.58935	28.5862	91.345
7.70096	30.3824	83.652
7.81257	32.7411	96.592
7.92418	25.4727	117.689
8.03579	29.0188	124.512
8.1474	29.4612	124.365
8.259	27.0757	127.912
8.37061	33.0749	147.403
8.48222	36.3651	164.605
8.59383	32.7547	174.517
