Distance(µm)	H2AK119ub	Ser5 POLII
0	252.111	238.056
0.21261	403.85	525.217
0.42523	476.997	781.83
0.63784	492.067	807.015
0.85045	462.608	566.435
1.06307	555.092	455.719
1.27568	649.446	477.781
1.48829	677.653	473.786
1.70091	668.167	410.144
1.91352	694.829	394.165
2.12614	672.469	431.172
2.33875	608.525	535.336
2.55136	499.584	677.469
2.76398	372.612	875.186
2.97659	295.075	866.552
3.1892	282.963	979.51
3.40182	357.233	824.967
3.61443	456.98	759.482
3.82704	436.176	851.79
4.03966	402.875	870.708
4.25227	443.09	864.465
4.46488	445.338	838.061
4.6775	431.075	967.553
4.89011	426.746	835.089
5.10273	378.336	547.296
5.31534	302.996	474.891
5.52795	251.568	431.174
5.74057	259.246	421.241
5.95318	273.858	387.043
6.16579	279.543	368.161
6.37841	266.648	352.139
6.59102	260.123	325.597
6.80363	268.238	277.707
7.01625	274.529	269.862
7.22886	295.038	275.279
7.44147	351.851	245.087
7.65409	436.95	390.172
7.8667	441.096	597.205
8.07931	392.163	794.014
8.29193	299.949	820.084
8.50454	198.833	567.833
