Distance(µm)	H2AK119ub	Ser5 POLII
0	433.875	311.25
0.2126	630.379	390.225
0.4252	816.549	550.507
0.6378	916.695	663.791
0.8505	956.773	720.939
1.0631	999.789	663.602
1.2757	1032.917	672.867
1.4883	1014.835	709.161
1.7009	954.348	691.143
1.9135	960.695	757.66
2.1261	981.886	815.948
2.3387	901.366	795.167
2.5514	848.152	751.542
2.764	911.942	682.59
2.9766	1061.642	614.675
3.1892	1243.226	479.428
3.4018	1330.594	425.053
3.6144	1366.776	442.283
3.827	1388.283	499.574
4.0397	1396.665	485.832
4.2523	1395.544	496.69
4.4649	1211.008	625.152
4.6775	1029.551	726.442
4.8901	905.878	774.408
5.1027	781.867	849.96
5.3153	747.289	904.518
5.528	767.802	873.342
5.7406	828.938	826.035
5.9532	850.621	791.972
6.1658	798.75	730.812
6.3784	723.636	691.779
6.591	684.091	701.976
6.8036	657.037	701.13
7.0162	637.577	679.277
7.2289	629.296	642.425
7.4415	637.413	530.916
7.6541	617.58	417.301
7.8667	569.936	388.963
8.0793	567.384	393.256
8.2919	570.89	374.712
8.5045	551.785	307.253
8.7172	526.013	265.478
8.9298	487.71	244.735
9.1424	512.78	284.053
9.355	519.024	299.289
9.5676	501.4	258.649
9.7802	442.665	227.954
9.9928	425.608	240.623
10.2055	437.993	275.461
10.4181	509.9	365.047
10.6307	610.172	587.761
10.8433	712.916	853.394
11.0559	804.292	945.129
11.2685	844.455	959.75
11.4811	865.042	936.762
11.6937	832.645	693.44
11.9064	812.689	428.936
12.119	773.847	236.816
12.3316	520	63.25
