Distance	H2AK119ub	Ser5 POLII
0	17.089	26.233
0.2126	40.805	29.076
0.4252	79.437	63.352
0.6378	95.755	116.7
0.8505	77.587	162.897
1.0631	66.57	176.631
1.2757	61.365	137.522
1.4883	72.697	153.398
1.7009	88.732	179.701
1.9135	87.155	197.671
2.1261	81.699	226.118
2.3387	72.357	207.41
2.5514	67.868	192.101
2.764	65.466	162.092
2.9766	56.735	132.619
3.1892	46.362	131.525
3.4018	42.796	169.354
3.6144	41.433	219.614
3.827	46.81	146.77
4.0397	54.049	120.197
4.2523	58.622	124.467
4.4649	59.312	140.355
4.6775	52.49	127.096
4.8901	62.112	135.357
5.1027	77.239	209.937
5.3153	78.716	241.593
5.528	71.172	193.327
5.7406	71.671	163.536
5.9532	87.608	173.885
6.1658	103.534	200.27
6.3784	115.24	237.754
6.591	125.66	230.625
6.8036	148.195	164.651
7.0162	204.456	228.768
7.2289	309.747	241.076
7.4415	354.984	219.551
7.6541	393.482	226.937
7.8667	419.782	176.509
8.0793	445.109	185.244
8.2919	409.545	193.454
8.5045	321.556	159.827
8.7172	217.24	145.903
8.9298	144.538	133.176
9.1424	91.99	164.501
9.355	45.157	180.423
9.5676	33.69	162.8
9.7802	38.503	136.325
9.9928	34.841	121.845
10.2055	27.84	105.352
10.4181	22.268	95.491
