Distance	H2AK119ub	Ser5 POLII
0	69.205	42.533
0.2126	249.338	174.287
0.4252	339.885	231.957
0.6378	358.547	268.993
0.8505	403.168	257.757
1.0631	409.737	347.979
1.2757	403.541	371.923
1.4883	376.436	375.968
1.7009	313.905	497.981
1.9135	233.642	639.283
2.1261	198.863	770.444
2.3387	195.036	750.353
2.5514	203.904	558.81
2.764	209.249	495.007
2.9766	201.655	518.744
3.1892	181.739	479.63
3.4018	164.45	552.284
3.6144	172.366	596.953
3.827	162.656	668.278
4.0397	144.582	718.653
4.2523	178.54	642.536
4.4649	197.15	677.82
4.6775	212.009	718.105
4.8901	181.802	643.828
5.1027	162.974	596.814
5.3153	118.869	438.011
5.528	85.204	248.567
5.7406	70.894	163.499
5.9532	61.391	137.555
6.1658	62.404	143.638
6.3784	61.564	148.212
6.591	62.355	126.169
6.8036	69.774	126.098
7.0162	87.73	129.615
7.2289	108.754	183.302
7.4415	131.775	294.189
7.6541	168.813	431.476
7.8667	191.55	475.188
8.0793	187.39	556.084
8.2919	194.506	581.609
8.5045	187.502	661.197
8.7172	186.288	674.265
8.9298	155.646	638.277
9.1424	127.152	617.041
9.355	125.948	650.459
9.5676	146.916	623.29
9.7802	160.606	619.468
9.9928	164.416	662.589
10.2055	136.264	624.046
10.4181	112.253	547.236
10.6307	108.293	526.675
10.8433	124.265	593.761
11.0559	154.288	590.679
11.2685	172.875	594.102
11.4811	155.8	665.992
11.6937	160.031	621.977
11.9064	180.065	553.772
12.119	175.964	567.759
12.3316	154.573	518.601
12.5442	134.832	489.383
12.7568	136.955	469.276
12.9694	126.984	440.584
13.182	114.366	313.223
13.3947	115.61	272.056
13.6073	81.217	180.601
