Distance(µm)	H2AK119ub	Ser5 POLII
0	74.077	198.532
0.18329	216.417	433.38
0.36658	368.629	685.505
0.54986	469.741	759.59
0.73315	498.382	648.541
0.91644	555.933	709.258
1.09973	632.805	715.753
1.28301	616.544	721.101
1.4663	524.063	765.104
1.64959	478.508	871.326
1.83288	503.223	1026.346
2.01616	538.764	1053.841
2.19945	603.829	1047.771
2.38274	827.938	957.122
2.56603	1093.749	861.63
2.74931	1149.822	571.405
2.9326	1166.475	416.991
3.11589	1130.308	392.114
3.29918	1169.498	377.398
3.48246	1218.293	439.575
3.66575	1209.201	516.284
3.84904	1100.792	600.547
4.03233	834.911	919.817
4.21561	566.644	969.151
4.3989	443.533	962.344
4.58219	390.207	849.428
4.76548	373.618	725.9
4.94876	429.278	537.274
5.13205	509.792	430.273
5.31534	517.879	312.813
5.49863	479.293	203.416
5.68191	355.052	162.118
5.8652	245.491	226.874
6.04849	187.861	99.422
6.23178	181.352	60.188
6.41506	191.3	71.217
6.59835	232.153	155.159
6.78164	276.419	247.259
6.96493	297.178	337.204
7.14821	336.867	470.737
7.3315	402.479	592.528
7.51479	463.192	775.082
7.69808	495.924	910.688
7.88136	480.581	896.871
8.06465	428.271	929.295
8.24794	361.46	1141.451
8.43123	388.466	1228.716
8.61451	528.753	1114.52
8.7978	679.492	1000.233
8.98109	618.709	893.14
9.16438	521.122	743.772
9.34766	510.069	750.969
9.53095	463.212	555.644
9.71424	298.326	291.298
9.89753	93.086	140.238
