Distance(µm)	H2AK119ub	Ser5 POLII
0	54.48	58.574
0.21261	97.422	140.421
0.42523	137.009	172.623
0.63784	171.107	182.346
0.85045	231.113	183.129
1.06307	329.089	202.237
1.27568	446.018	199.071
1.48829	551.437	183.498
1.70091	554.301	181.67
1.91352	377.674	180.387
2.12614	219.037	172.818
2.33875	200.742	184.823
2.55136	220.661	248.29
2.76398	160.801	211.337
2.97659	107.454	165.719
3.1892	120.273	111.555
3.40182	154.419	81.419
3.61443	117.414	72.46
3.82704	75.68	88.642
4.03966	68.038	78.972
4.25227	75.6	72.486
4.46488	83.391	89.194
4.6775	89.664	105.584
4.89011	107.279	95.178
5.10273	124.856	76.852
5.31534	120.653	84.413
5.52795	88.283	118.826
5.74057	69.247	88.978
5.95318	67.887	58.472
6.16579	96.264	75.24
6.37841	106.366	106.779
6.59102	87.573	108.575
6.80363	78.045	84.603
7.01625	61.23	64.948
7.22886	68.245	54.493
7.44147	84.684	43.184
7.65409	117.343	55.594
7.8667	151.693	105.699
8.07931	138.606	186.484
8.29193	113.995	221.214
8.50454	103.248	233.213
8.71715	97.007	229.613
8.92977	102.986	256.428
9.14238	136.994	232.886
9.355	120.932	203.995
9.56761	125.116	182.756
9.78022	155.872	167.651
9.99284	135.972	134.352
10.20545	78.408	91.743
