Distance(µm)	H2AK119ub	Ser5 POLII
0	44.64	381.547
0.21261	44.43	501.122
0.42523	59.772	558.197
0.63784	140.412	542.442
0.85045	169.328	481.967
1.06307	142.958	424.718
1.27568	121.744	427.708
1.48829	110.09	454.88
1.70091	89.328	415.925
1.91352	85.153	370.923
2.12614	146.542	329.439
2.33875	276.86	258.241
2.55136	312.233	273.701
2.76398	344.674	380
2.97659	394.427	369.171
3.1892	359.498	273.555
3.40182	268.68	258.969
3.61443	175.041	265.082
3.82704	192.994	195.774
4.03966	287.261	229.096
4.25227	375.406	236.88
4.46488	311.562	273.012
4.6775	128.584	274.516
4.89011	53.899	272.729
5.10273	59.026	258.235
5.31534	138.074	290.415
5.52795	171.159	310.747
5.74057	150.647	408.212
5.95318	180.509	464.165
6.16579	157.953	410.685
6.37841	146.739	331.792
6.59102	158.321	292.443
6.80363	143.808	326.624
7.01625	129.231	330.278
7.22886	203.364	363.471
7.44147	195.164	316.67
7.65409	129.871	249.697
7.8667	117.499	228.806
8.07931	103.325	289.211
8.29193	69.722	269.64
