Distance(µm)	H2AK119ub	Ser5 POLII
0	93.252	90.158
0.148	130.459	143.861
0.2959	177.427	201.264
0.4439	227.347	262.569
0.5918	305.663	331.426
0.7398	419.793	434.404
0.8877	478.288	457.403
1.0357	497.939	457.823
1.1837	469.416	452.788
1.3316	396.825	432.193
1.4796	347.038	453.292
1.6275	329.755	501.176
1.7755	296.181	546.918
1.9234	259.944	546.754
2.0714	237.292	515.998
2.2193	223.584	495.782
2.3673	211.765	428.699
2.5153	192.623	326.627
2.6632	186.87	307.625
2.8112	185.789	328.694
2.9591	196.96	407.709
3.1071	205.085	457.459
3.255	212.635	396.046
3.403	214.979	397.552
3.551	214.808	357.902
3.6989	220.957	316.828
3.8469	223.848	301.869
3.9948	233.71	311.466
4.1428	246.556	350.025
4.2907	250.063	491.439
4.4387	244.721	565.685
4.5867	246.039	615.882
4.7346	240.107	649.574
4.8826	242.286	691.833
5.0305	240.245	711.687
5.1785	235.373	745.022
5.3264	235.638	762.059
5.4744	240.015	744.784
5.6223	248.176	695.961
5.7703	244.363	622.719
5.9183	244.071	560.244
6.0662	238.077	496.671
6.2142	232.696	452.379
6.3621	225.776	413.723
6.5101	224.843	383.347
6.658	223.057	360.004
6.806	218.809	345.185
6.954	216.754	345.848
7.1019	210.364	369.842
7.2499	210.973	422.843
7.3978	216.487	480.522
7.5458	211.401	501.057
7.6937	210.426	486.127
7.8417	220.449	448.65
7.9897	222.025	401.705
8.1376	232.623	412.626
8.2856	234.678	450.29
8.4335	238.607	474.825
8.5815	224.552	504.102
8.7294	209.349	506.396
8.8774	201.715	488.19
9.0253	204.548	446.158
9.1733	210.357	396.625
9.3213	211.355	398.551
9.4692	204.732	388.815
9.6172	199.395	335.98
9.7651	200.548	297.734
9.9131	211.686	303.337
10.061	209.666	315.024
10.209	212.717	306.998
10.357	204.799	268.269
