Distance(µm)	H2AK119ub	Ser5 POLII
0	42.278	81.722
0.2126	92.138	84.648
0.4252	158.337	91.479
0.6378	213.941	97.108
0.8505	248.39	94.978
1.0631	273.351	98.122
1.2757	297.32	102.389
1.4883	330.369	110.814
1.7009	364.493	142.14
1.9135	378.669	216.853
2.1261	344.959	345.712
2.3387	288.257	452.404
2.5514	241.119	503.714
2.764	217.941	537.337
2.9766	194.557	535.392
3.1892	189.464	567.738
3.4018	221.517	604.905
3.6144	239.167	567.5
3.827	238.343	515.804
4.0397	242.378	489.729
4.2523	243.08	455.566
4.4649	228.204	403.813
4.6775	228.173	421.878
4.8901	239.161	462.654
5.1027	233.902	439.588
5.3153	212.621	416.216
5.528	188.453	420.722
5.7406	181.97	436.567
5.9532	182.917	455.13
6.1658	175.616	463.622
6.3784	153.836	414.357
6.591	130.131	355.19
6.8036	127.603	385.561
7.0162	144.622	425.441
7.2289	177.722	403
7.4415	209.132	383.128
7.6541	218.711	388.055
7.8667	206.791	406.333
8.0793	194.139	446.726
8.2919	195.417	428.234
8.5045	185.879	326.257
8.7172	166.873	311.75
8.9298	149.125	335.908
9.1424	142.179	337.256
9.355	162.136	383.327
9.5676	187.513	426.15
9.7802	192.102	391.994
9.9928	183.171	319.663
10.2055	173.225	267.321
10.4181	167.491	249.474
10.6307	156.945	231.4
10.8433	159.142	213.062
11.0559	174.246	239.813
11.2685	189.91	300.427
11.4811	196.869	372.096
11.6937	191.027	329.765
11.9064	183.707	320.057
12.119	195.246	303.539
12.3316	219.31	309.027
12.5442	225.777	316.304
12.7568	221.984	261.521
12.9694	202.876	210.703
13.182	184.564	180.394
13.3947	182.969	180.736
13.6073	178.631	208.887
13.8199	187.757	252.622
14.0325	175.974	318.269
14.2451	141.574	335.138
14.4577	104.167	208
