Distance(µm)	H2AK119ub	Ser5 POLII
0	621.5	313
0.2126	950.976	420.929
0.4252	1187.588	508.881
0.6378	1323.748	491.63
0.8505	1336.118	488.594
1.0631	1143.756	535.927
1.2757	910.118	587.574
1.4883	808.034	641.081
1.7009	842.779	619.671
1.9135	831.197	616.381
2.1261	752.699	635.658
2.3387	726.243	559.919
2.5514	707.277	545.4
2.764	675.302	580.127
2.9766	657.291	647.459
3.1892	641.139	721.516
3.4018	675.05	788.135
3.6144	685	822.722
3.827	673.495	818.976
4.0397	664.527	820.407
4.2523	627.991	855.309
4.4649	631.198	860.356
4.6775	600.19	762.518
4.8901	595.847	770.259
5.1027	657.033	742.704
5.3153	721.68	583.591
5.528	700.207	501.627
5.7406	630.053	457.732
5.9532	589.161	395.583
6.1658	572.234	365.055
6.3784	574.26	366.128
6.591	594.591	382.675
6.8036	632.202	459.317
7.0162	680.461	520.661
7.2289	681.667	541.333
7.4415	715.665	540.978
7.6541	766.843	536.37
7.8667	789.007	488.656
8.0793	743.574	410.218
8.2919	706.77	384.364
8.5045	706.859	418.418
8.7172	775.551	463.431
8.9298	842.017	494.26
9.1424	813.01	475.636
9.355	815.968	488.976
9.5676	868.812	578.664
9.7802	957.563	678.1
9.9928	1060.116	775.877
10.2055	1095.742	790.744
10.4181	1081.553	692.263
10.6307	969.491	433.174
10.8433	522.25	213
