Distance(µm)	H2AK119ub	Ser5 POLII
0	261.251	175.651
0.2126	532.391	266.088
0.4252	856.395	357.014
0.6378	1148.219	495.14
0.8505	1160.198	622.117
1.0631	968.025	597.413
1.2757	852.736	635.03
1.4883	971.651	602.539
1.7009	1131.886	529.684
1.9135	1226.94	526.532
2.1261	1253.828	526.073
2.3387	1244.334	570.99
2.5514	1140.116	664.535
2.764	870.447	799.3
2.9766	623.414	997.769
3.1892	525.006	1043.522
3.4018	451.515	1007.681
3.6144	452.635	953.819
3.827	527.191	1042.256
4.0397	512.21	800.137
4.2523	535.122	582.764
4.4649	583.036	518.759
4.6775	591.296	483.557
4.8901	527.424	609.926
5.1027	472.197	687.971
5.3153	469.417	823.03
5.528	500.199	912.315
5.7406	501.177	1057.124
5.9532	492.444	1122.896
6.1658	499.925	1136.266
6.3784	552.44	1165.859
6.591	528.33	1213.519
6.8036	533.61	1231.919
7.0162	595.53	961.146
7.2289	515.75	899.129
7.4415	408.81	990.02
7.6541	398.39	1049.894
7.8667	389.959	753.407
8.0793	340.695	496.887
8.2919	319.4	332.321
8.5045	322.101	312.094
8.7172	316.607	344.243
8.9298	337.971	405.666
9.1424	380.154	428.963
9.355	396.125	410.912
9.5676	363.187	531.127
9.7802	344.622	626.035
9.9928	368.061	522.06
10.2055	379.363	455.238
10.4181	374.276	550.21
10.6307	387.131	539.423
10.8433	350.575	588.335
11.0559	352.544	646.154
11.2685	364.17	907.287
11.4811	383.052	951.693
11.6937	431.157	829.662
11.9064	483.536	856.262
12.119	481.7	1045.955
12.3316	490.335	1058.397
12.5442	477.8	1055.866
12.7568	447.583	875.202
12.9694	460.515	714.85
13.182	400.67	541.824
13.3947	302.513	496.433
13.6073	165.677	520.057
