Distance	H2AK119ub	Ser5 POLII
0	193.148	527.169
0.2126	260.538	512.635
0.4252	317.88	553.352
0.6378	338.95	552.936
0.8505	318.512	583.696
1.0631	320.779	536.757
1.2757	323.64	458.155
1.4883	337.207	476.981
1.7009	310.365	712.109
1.9135	292.311	684.354
2.1261	313.161	625.466
2.3387	310.005	548.876
2.5514	282.075	450.491
2.764	280.999	444.914
2.9766	305.732	521.015
3.1892	345.629	565.686
3.4018	357.813	475.974
3.6144	333.214	443.881
3.827	288.796	528.731
4.0397	261.949	594.217
4.2523	275.683	618.343
4.4649	316.444	637.419
4.6775	328.038	513.255
4.8901	309.17	439.044
5.1027	273.034	537.969
5.3153	258.919	678.345
5.528	242.108	756.654
5.7406	262.529	690.45
5.9532	271.363	520.827
6.1658	258.402	522.039
6.3784	213.63	510.823
6.591	202.013	468.715
6.8036	227.979	423.265
7.0162	227.448	465.353
7.2289	224.896	388.1
7.4415	237.724	352.956
7.6541	227.68	336.413
7.8667	228.941	368.314
8.0793	226.955	390.21
8.2919	220.194	334.496
8.5045	217.421	265.323
8.7172	198.116	232.338
8.9298	160.21	201.84
9.1424	146.562	217.168
9.355	146.062	234.051
9.5676	153.758	263.26
9.7802	191.111	319.57
9.9928	255.597	324.403
10.2055	312.638	272.969
10.4181	423.161	200.975
10.6307	517.422	194.818
10.8433	578.985	264.83
11.0559	603.838	320.663
11.2685	613.548	324.195
11.4811	628.472	297.259
11.6937	640.996	302.955
11.9064	676.486	225.86
12.119	668.443	275.098
12.3316	696.76	394.59
12.5442	647.24	547.951
12.7568	530.743	572.78
12.9694	445.081	514.504
13.182	300.559	300.387
13.3947	115.533	103.439
