Distance(µm)	H2AK119ub	Ser5 POLII
0	209.131	311.734
0.2126	207.641	321.611
0.4252	168.828	340.401
0.6378	207.619	337.141
0.8505	253.956	357.836
1.0631	280.554	372.163
1.2757	266.742	425.995
1.4883	201.297	455.41
1.7009	131.746	467.323
1.9135	163.97	565.451
2.1261	220.529	616.353
2.3387	245.485	509.138
2.5514	213.2	544.992
2.764	213.149	504.911
2.9766	220.416	492.501
3.1892	232.719	504.073
3.4018	214.301	452.419
3.6144	249.074	390.098
3.827	334.48	339.815
4.0397	427.839	350.305
4.2523	529.106	314.993
4.4649	484.196	293.232
4.6775	437.806	283.277
4.8901	430.303	283.819
5.1027	399.483	263.36
5.3153	349.903	195.737
5.528	295.599	172.749
5.7406	237.196	187.235
5.9532	186.459	170.188
6.1658	141.055	145.094
6.3784	132.286	126.892
6.591	121.857	161.242
6.8036	118.506	206.212
7.0162	150.66	155.518
7.2289	193.646	171.414
7.4415	173.316	295.796
7.6541	130.613	308.331
7.8667	147.787	243.152
8.0793	159.97	160.366
8.2919	172.633	144.394
8.5045	171.633	158.887
8.7172	167.671	197.123
8.9298	187.364	273.059
9.1424	195.671	370.018
9.355	217.39	358.694
9.5676	244.059	339.841
9.7802	253.391	299.257
9.9928	253.251	455.408
10.2055	217.307	542.116
10.4181	159.309	640.351
10.6307	173.097	579.984
10.8433	179.961	540.711
11.0559	138.038	477.156
11.2685	148.056	434.359
11.4811	171.035	398.582
11.6937	163.79	435.908
11.9064	150.638	584.047
12.119	180.454	476.665
12.3316	228.753	459.366
12.5442	253.171	433.687
12.7568	253.282	395.475
12.9694	241.309	353.283
13.182	249.903	326.274
13.3947	219.363	422.552
13.6073	198.747	497.195
13.8199	201.952	550.978
14.0325	194.183	443.844
14.2451	155.735	405.245
14.4577	119.038	237.529
14.6703	64.027	104.211
