Distance(µm)	H2AK119ub	Ser5 POLII
0	147.858	60.474
0.1225	269.873	109.315
0.2449	364.894	175.034
0.3674	439.316	261.071
0.4899	443.448	356.407
0.6124	464.042	503.205
0.7348	462.488	613.679
0.8573	459.108	689.002
0.9798	417.899	795.008
1.1023	424.713	937.132
1.2247	428.423	853.027
1.3472	367.733	623.161
1.4697	295.504	482.424
1.5922	205.441	389.715
1.7146	167.62	330.451
1.8371	148.48	315.546
1.9596	134.174	349.473
2.082	106.697	401.843
2.2045	97.753	455.826
2.327	108.178	468.816
2.4495	117.649	382.907
2.5719	114.965	338.473
2.6944	104.84	303.181
2.8169	96.851	291.437
2.9394	96.622	314.908
3.0618	103.411	315.077
3.1843	118.939	291.355
3.3068	126.941	264.222
3.4293	122.82	264.598
3.5517	115.619	291.393
3.6742	106.527	280.797
3.7967	98.79	226.222
3.9191	108.408	207.769
4.0416	124.152	216.272
4.1641	136.826	213.323
4.2866	150.762	211.971
4.409	151.377	195.436
4.5315	143.677	214.551
4.654	137.036	223.242
4.7765	132.465	234.138
4.8989	131.722	200.605
5.0214	142.421	190.036
5.1439	158.341	196.95
5.2663	177.18	220.135
5.3888	205.081	292.145
5.5113	243.358	386.617
5.6338	246.947	447.291
5.7562	256.663	450.428
5.8787	263.366	479.434
6.0012	256.867	491.004
6.1237	260.148	500.906
6.2461	260.199	508.011
6.3686	256.369	480.437
6.4911	235.903	472.276
6.6136	207.974	444.695
6.736	192.063	417.223
6.8585	183.814	366.717
6.981	177.665	341.132
7.1034	179.027	329.699
7.2259	189.236	311.701
7.3484	204.838	293.435
7.4709	221.306	335.65
7.5933	220.557	400.1
7.7158	208.409	464.485
7.8383	193.046	513.525
7.9608	199.955	555.657
8.0832	226.079	579.779
8.2057	236.703	576.679
8.3282	227.82	591.142
8.4507	203.525	621.67
8.5731	170.471	608.912
8.6956	143.706	576.801
8.8181	142.471	583.897
8.9405	147.396	660.994
9.063	163.34	739.517
9.1855	174.26	751.012
9.308	192.856	725.175
9.4304	201.203	687.763
9.5529	199.32	618.811
9.6754	201.775	620.921
9.7979	194.306	609.81
9.9203	184.488	557.588
10.0428	196.828	529.737
10.1653	202.137	512.113
10.2878	206.286	512.239
10.4102	192.469	560.576
10.5327	183.387	615.238
10.6552	192.742	575.053
10.7776	191.333	480.715
10.9001	179.989	431.576
11.0226	180.402	402.035
11.1451	163.837	345.139
11.2675	143.124	366.007
11.39	113.475	460.741
