Distance(µm)	H2AK119ub	Ser5 POLII
0	457.75	126.75
0.2126	827.496	192.693
0.4252	1069.29	274.994
0.6378	1113.207	367.528
0.8505	1092	462.167
1.0631	1119.111	587.29
1.2757	1150.3	708.227
1.4883	1104.647	787.247
1.7009	1117.679	880.043
1.9135	1165.952	907.867
2.1261	1145.475	859.075
2.3387	1198.459	789.935
2.5514	1428.084	772.682
2.764	1652.218	772.723
2.9766	1764.73	727.636
3.1892	1818.147	704.103
3.4018	1896.175	678.71
3.6144	1930.022	609.954
3.827	1762.683	603.883
4.0397	1352.549	579.249
4.2523	982.014	454.225
4.4649	771.543	348.142
4.6775	686.721	294.419
4.8901	668.056	294.201
5.1027	669.844	330.008
5.3153	732.955	451.269
5.528	823.537	523.177
5.7406	826.265	473.633
5.9532	791.121	441.853
6.1658	767.726	483.616
6.3784	753.003	449.371
6.591	731.517	462.723
6.8036	761.101	509.225
7.0162	824.069	479.056
7.2289	869.013	409.305
7.4415	965.284	442.339
7.6541	953.224	624.318
7.8667	939.006	752.135
8.0793	930.813	781.11
8.2919	851.812	626.649
8.5045	762.747	561.762
8.7172	739.172	458.778
8.9298	734.116	425.816
9.1424	726.685	503.385
9.355	746.758	534.516
9.5676	784.919	538.518
9.7802	822.389	477.355
9.9928	803.077	432.356
10.2055	784.06	434.483
10.4181	800.979	520.026
10.6307	839.575	580.071
10.8433	873.559	607.02
11.0559	866.172	627.294
11.2685	907.025	706.723
11.4811	1013.862	726.115
11.6937	1085.745	721.958
11.9064	1107.827	699.548
12.119	1176.84	762.204
12.3316	1219.565	825.991
12.5442	1223.133	751.688
12.7568	1168.251	624.984
12.9694	1010.951	630.828
13.182	769.15	686.324
13.3947	423.111	494.333
