Distance(µm)	H2AK119ub	Ser5 POLII
0	323.635	460.378
0.21261	630.071	745.935
0.42523	682.359	1106.344
0.63784	675.424	1345.116
0.85045	578.577	1338.052
1.06307	479.592	1295.433
1.27568	478.024	1334.501
1.48829	442.634	1416.182
1.70091	455.435	1337.024
1.91352	511.854	1137.235
2.12614	603.794	1059.606
2.33875	618.673	1246.145
2.55136	645.393	1443.703
2.76398	806.377	1311.669
2.97659	1083.578	1090.567
3.1892	1357.071	988.819
3.40182	1448.443	921.103
3.61443	1438.304	775.967
3.82704	1256.636	801.661
4.03966	1040.558	992.04
4.25227	879.141	1079.417
4.46488	755.07	1159.435
4.6775	611.973	1195.354
4.89011	561.784	1082.141
5.10273	557.042	1067.213
5.31534	479.298	1139.207
5.52795	440.27	1067.719
5.74057	473.543	1045.605
5.95318	459.063	1091.893
6.16579	431.782	957.636
6.37841	427.981	818.836
6.59102	390.567	698.406
6.80363	396.889	514.917
7.01625	373.218	334.718
7.22886	257.316	266.486
