Distance	H2AK119ub	Ser5 POLII
0	52.104	145.605
0.2126	80.763	178.033
0.4252	101.404	144.598
0.6378	115.967	130.251
0.8505	125.958	126.135
1.0631	123.822	100.419
1.2757	116.505	83.847
1.4883	114.781	88.334
1.7009	125.403	100.054
1.9135	138.761	107.989
2.1261	123.637	117.512
2.3387	89.55	122.726
2.5514	60.922	128.901
2.764	54.108	140.942
2.9766	62.741	144.457
3.1892	58.001	134.351
3.4018	47.674	178.669
3.6144	49.6	273.553
3.827	57.485	300.6
4.0397	54.72	270.382
4.2523	45.188	215.02
4.4649	37.796	213.603
4.6775	31.894	277.083
4.8901	31.187	224.918
5.1027	44.095	185.884
5.3153	59.123	173.933
5.528	56.991	194.133
5.7406	47.333	221.08
5.9532	51.019	194.253
6.1658	57.259	188.95
6.3784	61.865	197.71
6.591	62.382	165.729
6.8036	49.914	129.783
7.0162	44.404	99.455
7.2289	48.383	79.319
7.4415	59.04	62.417
7.6541	59.903	79.304
7.8667	54.694	168.964
8.0793	43.358	210.005
8.2919	38.425	269.735
8.5045	54.033	232.374
8.7172	51.049	235.838
8.9298	32.175	260.095
9.1424	21.462	115.775
9.355	33.483	117.604
9.5676	60.774	180.505
9.7802	59.768	151.983
9.9928	51.851	206.441
10.2055	68.43	297.145
10.4181	61.615	298.36
10.6307	58.001	191.111
10.8433	45.776	184.691
11.0559	38.339	203.655
11.2685	34.779	189.155
