Distance(µm)	H2AK119ub	Ser5 POLII
0	113.023	95.475
0.18329	409.914	294.733
0.36658	741.268	541.384
0.54986	910.696	626.84
0.73315	1081.626	389.87
0.91644	1096.089	349.486
1.09973	1013.829	370.771
1.28301	854.37	404.158
1.4663	779.892	394.856
1.64959	733.803	447.917
1.83288	753.554	506.65
2.01616	637.239	675.092
2.19945	457.635	816.555
2.38274	362.844	688.504
2.56603	352.718	573.044
2.74931	354.684	513.097
2.9326	370.786	623.424
3.11589	387.389	735.298
3.29918	371.542	1022.1
3.48246	370.336	1303.255
3.66575	413.842	1147.575
3.84904	477.347	950.304
4.03233	502.997	794.226
4.21561	467.773	630.347
4.3989	443.498	568.717
4.58219	432.987	517.114
4.76548	355.333	392.059
4.94876	331.895	387.763
5.13205	349.381	444.351
5.31534	315.867	347.768
5.49863	286.169	379.966
5.68191	267.25	637.299
5.8652	259.493	684.622
6.04849	253.194	533.788
6.23178	240.131	494.651
6.41506	273.767	517.323
6.59835	389.263	548.079
6.78164	491.504	647.386
6.96493	517.942	672.67
7.14821	510.871	721.234
7.3315	522.224	825.845
7.51479	518.238	973.649
7.69808	479.846	1078.51
7.88136	452.782	900.936
8.06465	455.509	754.551
8.24794	463.87	726.763
8.43123	460.374	824.739
8.61451	503.241	812.879
8.7978	560.948	867.251
8.98109	538.66	935.927
9.16438	484.495	1016.352
9.34766	517.843	860.556
9.53095	549.818	616.621
9.71424	511.031	307.895
9.89753	345.908	154.323
10.08081	116.201	70.353
