Distance	H2AK119ub	Ser5 POLII
0	115.629	252.414
0.2126	178.929	304.633
0.4252	215.446	296.037
0.6378	237.45	312.892
0.8505	247.63	300.299
1.0631	249.205	283.967
1.2757	244.437	294.693
1.4883	239.063	292.774
1.7009	221.995	395.137
1.9135	205.948	420.164
2.1261	163.121	451.589
2.3387	131.522	448.692
2.5514	112.104	402.044
2.764	101.796	306.794
2.9766	88.682	243.364
3.1892	74.883	282.966
3.4018	69.846	340.236
3.6144	78.192	375.812
3.827	91.427	445.192
4.0397	91.079	481.112
4.2523	104.878	486.423
4.4649	93.243	318.407
4.6775	77.187	306.879
4.8901	80.77	373.246
5.1027	96.819	406.152
5.3153	96.306	384.588
5.528	88.773	344.453
5.7406	96.98	321.648
5.9532	108.708	320.207
6.1658	113.046	378.006
6.3784	124.023	427.554
6.591	116.128	479.569
6.8036	97.487	434.143
7.0162	105.004	401.884
7.2289	120.315	409.447
7.4415	115.429	432.479
7.6541	95.456	427.507
7.8667	83.374	403.605
8.0793	88.268	396.259
8.2919	87.942	432.547
8.5045	101.29	506.041
8.7172	116.292	482.479
8.9298	116.068	337.03
9.1424	95.831	361.479
9.355	99.432	265.771
9.5676	106.888	188.57
9.7802	98.72	247.733
9.9928	103.114	213.062
10.2055	103.287	164.691
10.4181	106.545	165.621
10.6307	116.455	196.204
10.8433	114.584	199.19
11.0559	101.181	168.445
11.2685	66.251	140.995
11.4811	48.013	112.909
11.6937	50.722	93.617
11.9064	71.367	159.083
12.119	90.669	238.656
12.3316	104.769	298.548
12.5442	122.349	361.363
12.7568	122.588	361.387
12.9694	115.916	359.646
13.182	111.351	391.124
13.3947	108.585	435.559
13.6073	99.179	384.119
13.8199	103.046	377.983
14.0325	90.654	413.383
14.2451	89.263	307.696
14.4577	120.489	340.385
14.6703	138.93	384.595
14.8829	116.822	340.983
15.0956	104.406	297.205
15.3082	103.284	341.535
15.5208	98.933	379.159
15.7334	97.95	353.356
15.946	95.425	231.118
