Distance(µm)	H2AK119ub	Ser5 POLII
0	82.96	66.944
0.21261	111.356	130.13
0.42523	125.23	173.401
0.63784	136.414	222.016
0.85045	188.141	210.336
1.06307	249.969	220.829
1.27568	329.749	248.959
1.48829	297.698	250.214
1.70091	218.495	282.508
1.91352	124.241	311.15
2.12614	75.098	299.63
2.33875	64.016	269.229
2.55136	84.442	251.859
2.76398	76.43	267.406
2.97659	70.836	253.782
3.1892	72.06	246.964
3.40182	74.459	249.036
3.61443	66.594	267.471
3.82704	80.839	256.101
4.03966	94.854	236.105
4.25227	79.794	229.69
4.46488	62.53	248.378
4.6775	72.898	268.56
4.89011	78.147	245.721
5.10273	79.177	193.134
5.31534	69.617	182.758
5.52795	63.487	149.563
5.74057	53.362	94.071
