Distance(µm)	H2AK119ub	Ser5 POLII
0	279.454	98.721
0.18329	636.826	182.549
0.36658	931.447	236.824
0.54986	1027.122	331.985
0.73315	994.854	382.105
0.91644	928.066	332.719
1.09973	886.061	315.96
1.28301	864.708	500.435
1.4663	818.431	632.9
1.64959	652.151	639.236
1.83288	408.52	788.516
2.01616	303.47	881.604
2.19945	289.822	828.185
2.38274	254.556	892.422
2.56603	215.738	1016.788
2.74931	233.278	905.953
2.9326	252.681	644.724
3.11589	248.524	783.83
3.29918	305.507	925.848
3.48246	379.505	664.956
3.66575	389.821	536.773
3.84904	378.139	765.658
4.03233	361.871	765.453
4.21561	346.789	746.532
4.3989	308.259	973.416
4.58219	282.288	830.567
4.76548	279.972	828.629
4.94876	258.06	787.125
5.13205	234.646	850.13
5.31534	242.931	961.728
5.49863	279.917	826.176
5.68191	318.863	486.845
5.8652	320.237	433.267
6.04849	297.324	494.048
6.23178	281.881	462.851
6.41506	273.177	494.201
6.59835	287.707	564.044
6.78164	332.626	630.241
6.96493	368.213	635.828
7.14821	372.453	847.186
7.3315	375.523	864.776
7.51479	425.042	559.684
7.69808	448.208	558.529
7.88136	395.12	683.736
8.06465	339.975	703.033
8.24794	323.74	780.778
8.43123	360.634	845.349
8.61451	464.574	803.185
8.7978	503.565	675.829
8.98109	488.866	761.391
9.16438	499.605	523.426
9.34766	496.351	279.464
9.53095	318.617	123.502
9.71424	96.512	46.154
