Distance	H2AK119ub	Ser5 POLII
0	25.613	51.644
0.2126	62.34	113.277
0.4252	111.631	298.868
0.6378	165.884	650.638
0.8505	232.66	889.465
1.0631	294.836	696.949
1.2757	334.684	540.043
1.4883	339.631	534.653
1.7009	315.238	372.869
1.9135	289.303	342.468
2.1261	290.698	374.67
2.3387	302.303	394.036
2.5514	301.74	386.258
2.764	267.346	497.782
2.9766	204.908	743.327
3.1892	149.407	972.543
3.4018	109.167	841.646
3.6144	99.327	727.079
3.827	142.919	624.029
4.0397	151.735	659.001
4.2523	145.766	651.377
4.4649	147.466	642.728
4.6775	144.807	681.564
4.8901	139.178	679.998
5.1027	124.074	608.284
5.3153	108.137	625.841
5.528	98.861	775.039
5.7406	104.787	849.847
5.9532	123.76	818.488
6.1658	155.549	853.144
6.3784	171.466	984.141
6.591	170.198	1009.382
6.8036	175.962	929.383
7.0162	167.946	866.451
7.2289	148.346	859.212
7.4415	136.449	748.139
7.6541	133.654	772.887
7.8667	131.069	867.607
8.0793	132.751	719.774
8.2919	123.114	618.563
8.5045	125.583	355.625
8.7172	103.024	360.086
8.9298	89.65	313.886
9.1424	74.803	287.058
9.355	86.098	257.484
9.5676	101.018	343.675
9.7802	127.585	391.876
9.9928	144.991	412.771
10.2055	151.286	409.471
10.4181	146.631	470.907
10.6307	116.508	649.086
10.8433	108.717	786.472
11.0559	123.219	782.774
11.2685	151.535	679.741
11.4811	165.271	612.627
11.6937	142.425	575.782
11.9064	99.522	496.157
