Distance(µm)	H2AK119ub	Ser5 POLII
0	82.426	59.443
0.21261	176.18	77.996
0.42523	254.96	118.421
0.63784	272.482	144.181
0.85045	292.485	153.023
1.06307	362.827	143.082
1.27568	462.148	139.44
1.48829	462.006	163.751
1.70091	447.324	184.788
1.91352	367.945	218.977
2.12614	351.533	255.423
2.33875	405.769	257.48
2.55136	413.267	234.968
2.76398	338.181	240.065
2.97659	251.065	286.981
3.1892	177.669	303.295
3.40182	161.919	327.962
3.61443	163.927	316.661
3.82704	159.212	268.784
4.03966	141.843	220.815
4.25227	132.604	219.899
4.46488	112.137	237.231
4.6775	133.523	236.112
4.89011	140.737	243.377
5.10273	151.973	254.423
5.31534	163.86	257.986
5.52795	154.704	244.556
5.74057	157.234	236.973
5.95318	170.814	267.115
6.16579	158.229	252.069
6.37841	133.186	265.785
6.59102	123.93	285.552
6.80363	118.876	285.175
7.01625	119.536	273.963
7.22886	125.35	224.62
7.44147	94.227	136.6
7.65409	54.328	54.14
