Distance(µm)	H2AK119ub	Ser5 POLII
0	71.289	24.32
0.21261	136.276	55.93
0.42523	234.483	97.339
0.63784	265.478	147.217
0.85045	320.504	165.825
1.06307	395.885	175.845
1.27568	394.848	204.573
1.48829	289.894	267.814
1.70091	178.177	328.591
1.91352	153.817	341.819
2.12614	170.896	364.877
2.33875	167.477	425.178
2.55136	143.73	484.174
2.76398	167.076	498.071
2.97659	183.341	433.296
3.1892	239.133	286.453
3.40182	311.651	223.618
3.61443	454.245	216.717
3.82704	417.956	236.656
4.03966	368.761	215.735
4.25227	373.148	170.711
4.46488	382.389	124.875
4.6775	341.141	115.704
4.89011	375.035	174.162
5.10273	397.716	227.045
5.31534	389.96	274.779
5.52795	412.257	279.896
5.74057	412.702	241.526
5.95318	416.703	226.59
6.16579	433.784	221.939
6.37841	470.705	205.422
6.59102	456.236	197.067
6.80363	379.132	189.072
7.01625	330.443	192.786
7.22886	317.54	203.953
7.44147	319.586	193.498
7.65409	216.569	142.542
7.8667	123.634	75.797
