Distance(µm)	H2AK119ub	Ser5 POLII
0	67.56	81.409
0.12247	82.212	119.53
0.24495	91.709	176.726
0.36742	107.096	238.503
0.48989	131.236	326.671
0.61237	198.868	355.154
0.73484	309.597	395.262
0.85731	416.248	507.207
0.97979	479.078	616.192
1.10226	531.278	657.384
1.22473	524.631	638.277
1.34721	467.915	574.965
1.46968	429.421	539.317
1.59215	434.354	517.137
1.71463	453.152	541.585
1.8371	396.708	526.951
1.95957	342.016	487.551
2.08205	264.987	464.055
2.20452	219.456	569.85
2.32699	229.469	560.367
2.44946	228.468	549.408
2.57194	226.519	585.098
2.69441	220.207	606.03
2.81688	227.54	555.973
2.93936	213.936	510.586
3.06183	223.979	498.642
3.1843	196.359	475.037
3.30678	170.091	494.048
3.42925	154.391	482.764
3.55172	144.862	495.242
3.6742	132.817	518.975
3.79667	132.31	529.388
3.91914	120.808	507.982
4.04162	118.159	501.696
4.16409	119.03	475.596
4.28656	114.573	506.101
4.40904	112.363	526.992
4.53151	118.996	473.655
4.65398	134	399.186
4.77646	168.774	420.737
4.89893	203.568	600.77
5.0214	222.795	713.446
5.14388	238.936	793.642
5.26635	249.548	749.047
5.38882	254.104	776.438
5.5113	261.915	836.497
5.63377	259.687	911.017
5.75624	263.041	949.903
5.87872	269.744	961.109
6.00119	265.16	1020.048
6.12366	250.442	1060.805
6.24613	246.813	1062.615
6.36861	255.33	999.409
6.49108	255.11	988.831
6.61355	244.618	1035.077
6.73603	244.239	973.647
6.8585	237.137	844.335
6.98097	243.709	787.347
7.10345	239.724	730.865
7.22592	220.043	620.668
7.34839	195.89	636.413
7.47087	204.061	631.589
7.59334	195.08	578.581
7.71581	189.431	545.421
7.83829	163.454	437.45
7.96076	126.012	367.109
8.08323	101.02	317.212
8.20571	88.826	263.45
8.32818	92.02	223.382
8.45065	88.88	224.316
8.57313	65.241	172.456
8.6956	45.41	104.842
