Distance(µm)	H2AK119ub	Ser5 POLII
0	57.781	75.5
0.2126	138.571	76.32
0.4252	204.809	97.425
0.6378	245.046	129.124
0.8505	294.127	217.825
1.0631	311.305	361.936
1.2757	264.146	449.423
1.4883	191.004	510.54
1.7009	169.866	566.742
1.9135	171.037	590.221
2.1261	152.996	519.823
2.3387	150.304	561.335
2.5514	155.379	645.521
2.764	159.478	720.445
2.9766	159.176	698.983
3.1892	183.301	620.847
3.4018	219.083	591.997
3.6144	221.163	655.323
3.827	216.051	624.888
4.0397	197.611	508.14
4.2523	162.204	367.575
4.4649	137.407	266.284
4.6775	119.226	188.989
4.8901	121.774	190.34
5.1027	119.49	135.752
5.3153	121.532	155.178
5.528	131.379	181.065
5.7406	157.512	316.026
5.9532	189.185	452.043
6.1658	218.414	575.409
6.3784	236.752	714.842
6.591	223.278	648.486
6.8036	200.072	605.955
7.0162	161.002	650.283
7.2289	166.292	683.695
7.4415	206.325	688.601
7.6541	218.434	695.325
7.8667	216.39	701.661
8.0793	230.808	754.329
8.2919	224.014	769.467
8.5045	229.406	788.767
8.7172	212.849	892.531
8.9298	203.319	1019.57
9.1424	195.53	822.851
9.355	195.499	664.443
9.5676	227.286	629.276
9.7802	229.831	625.352
9.9928	217.615	628.866
10.2055	200.876	555.124
10.4181	161.769	432.128
10.6307	157.305	455.639
10.8433	157.898	526.194
11.0559	150.266	513.878
11.2685	138.836	417.327
11.4811	129.759	371.787
11.6937	129.161	385.811
11.9064	123.53	336.94
12.119	114.456	283.448
12.3316	86.712	196.779
12.5442	52.5	139.125
