Distance(µm)	H2AK119ub	Ser5 POLII
0	154.591	230.599
0.21261	228.11	385.707
0.42523	226.274	381.875
0.63784	230.566	469.113
0.85045	261.436	521.408
1.06307	289.871	518.119
1.27568	311.012	514.38
1.48829	332.192	455.974
1.70091	426.132	367.588
1.91352	529.238	324.995
2.12614	558.318	361.496
2.33875	566.656	376.068
2.55136	485.641	359.028
2.76398	411.968	462.205
2.97659	399.703	432.57
3.1892	436.131	313.341
3.40182	424.686	354.363
3.61443	315.384	607.341
3.82704	263.827	567.341
4.03966	270.442	510.81
4.25227	285.908	552.361
4.46488	309.675	474.365
4.6775	317.366	483.051
4.89011	290.747	542.479
5.10273	278.48	526.491
5.31534	220.69	640.699
5.52795	167.608	518.055
5.74057	217.624	380.715
5.95318	283.806	456.43
6.16579	271.341	544.404
6.37841	285.585	563.061
6.59102	410.276	594.625
6.80363	395.062	632.335
7.01625	326.949	655.775
7.22886	289.343	498.778
7.44147	214.502	336.869
7.65409	111.822	154.076
