Distance(µm)	H2AK119ub	Ser5 POLII
0	45.435	25.327
0.11161	58.062	36.609
0.22322	68.937	46.577
0.33482	81.836	52.455
0.44643	102.124	70.148
0.55804	125.499	79.404
0.66965	136.229	72.859
0.78126	144.453	75.511
0.89287	134.513	75.444
1.00447	117.043	77.482
1.11608	101.197	77.991
1.22769	96.244	79.189
1.3393	90.346	80.079
1.45091	82.582	80.06
1.56251	67.601	89.75
1.67412	58.773	93.133
1.78573	57.552	79.004
1.89734	51.705	77.321
2.00895	53.46	65.987
2.12055	58.621	61.778
2.23216	55.971	60.877
2.34377	57.151	68.722
2.45538	51.402	81.473
2.56699	45.738	96.223
2.6786	42.518	103.911
2.7902	37.406	107.197
2.90181	34.71	98.925
3.01342	34.398	78.251
3.12503	33.974	71.415
3.23664	37.37	73.564
3.34824	37.909	68.03
3.45985	37.403	71.907
3.57146	34.052	78.644
3.68307	36.728	82.105
3.79468	38.622	89.361
3.90629	39.44	95.208
4.01789	41.027	104.271
4.1295	41.107	112.53
4.24111	36.398	121.973
4.35272	35.003	114.012
4.46433	32.804	104.781
4.57593	37.401	99.467
4.68754	44.855	100.802
4.79915	53.86	102.169
4.91076	58.26	105.744
5.02237	59.995	113.416
5.13398	58.972	122.813
5.24558	62.068	125.067
5.35719	63.805	117.161
5.4688	59.212	107.008
5.58041	58.679	102.667
5.69202	51.127	108.174
5.80362	54.555	118.748
5.91523	57.979	120.089
6.02684	58.022	122.531
6.13845	55.245	118.638
6.25006	51.592	120.869
6.36166	49.679	130.913
6.47327	52.121	130.797
6.58488	57.639	136.677
6.69649	62.173	150.056
6.8081	68.515	157.845
6.91971	66.119	148.286
7.03131	64.471	143.865
7.14292	53.443	153.239
7.25453	49.59	152.135
7.36614	46.532	137.371
7.47775	47.759	120.894
7.58935	52.133	111.864
7.70096	55.464	114.996
7.81257	59.681	126.131
7.92418	59.517	126.726
8.03579	58.234	115.303
8.1474	50.947	98.694
8.259	53.335	93.294
8.37061	47.289	94.005
8.48222	48.728	93.836
8.59383	49.342	87.706
8.70544	57.293	87.541
8.81704	56.255	84.408
8.92865	53.585	80.09
9.04026	48.32	80.991
9.15187	44.482	75.352
9.26348	43.457	68.58
9.37508	41.132	64.427
9.48669	44.184	58.894
9.5983	37.855	55.712
9.70991	30.88	52.561
9.82152	23.896	38.23
