Distance(µm)	H2AK119ub	Ser5 POLII
0	289.25	211.667
0.2126	471.208	419.349
0.4252	538.791	659.23
0.6378	547.585	920.761
0.8505	581.797	961.307
1.0631	637.563	911.374
1.2757	632.091	796.591
1.4883	566.792	785.34
1.7009	551.135	654.722
1.9135	582.05	605.17
2.1261	573.104	696.557
2.3387	605.465	872.78
2.5514	642.379	878.965
2.764	612.745	866.915
2.9766	561.174	787.407
3.1892	589.038	719.62
3.4018	656.321	723.995
3.6144	677.44	619.028
3.827	755.962	576.209
4.0397	977.632	595.226
4.2523	1250.049	577.005
4.4649	1367.855	613.937
4.6775	1230.575	773.014
4.8901	964.135	943.874
5.1027	746.359	1069.459
5.3153	572.783	1104.302
5.528	509.219	1044.244
5.7406	525.431	1091.371
5.9532	552.326	1041.514
6.1658	576.277	987.965
6.3784	608.429	805.104
6.591	620.821	639.085
6.8036	583.514	741.061
7.0162	521.563	837.296
7.2289	461.377	797.085
7.4415	429.494	719.956
7.6541	438.764	828.341
7.8667	494.774	999.443
8.0793	536.064	1366.703
8.2919	510.711	1604.135
8.5045	541.222	1283.816
8.7172	574.223	1197.814
8.9298	560.17	1108.744
9.1424	539.849	1021.349
9.355	537.124	920.41
9.5676	565.535	930.292
9.7802	636.656	940.453
9.9928	668.865	924.56
10.2055	612.717	865.426
10.4181	598.679	836.755
10.6307	609.156	653.719
10.8433	570.45	461.116
11.0559	445.16	301.689
11.2685	278.167	129.5
