Distance(µm)	H2AK119ub	Ser5 POLII
0	238.265	947.601
0.21261	507.956	1349.854
0.42523	638.952	1249.314
0.63784	775.159	1020.381
0.85045	823.209	841.391
1.06307	812.766	679.686
1.27568	700.633	583.55
1.48829	547.835	367.161
1.70091	416.248	334.499
1.91352	389.171	400.572
2.12614	444.53	610.973
2.33875	410.214	625.06
2.55136	419.07	497.663
2.76398	464.957	627.844
2.97659	496.48	1121.168
3.1892	460.546	1391.39
3.40182	403.078	1283.726
3.61443	395.727	1119.203
3.82704	408.488	1124.706
4.03966	344.589	1214.398
4.25227	289.488	1343.271
4.46488	348.254	1418.471
4.6775	398.329	1391.94
4.89011	399.724	1382.106
5.10273	385.017	1359.522
5.31534	322.372	1311.833
5.52795	320.951	1271.245
5.74057	379.692	1369.03
5.95318	405.484	1245.568
6.16579	397.805	989.498
6.37841	332.267	910.596
6.59102	287.042	785.055
6.80363	188.7	485.811
7.01625	117.082	342.786
