Distance	H2AK119ub	Ser5 POLII
0	91.228	302.56
0.2126	183.403	557.43
0.4252	260.08	650.462
0.6378	327.914	728.152
0.8505	450.575	707.329
1.0631	485.352	634.262
1.2757	487.975	552.644
1.4883	469.716	483.335
1.7009	436.57	433.859
1.9135	381.194	527.314
2.1261	323.704	734.892
2.3387	287.881	812.082
2.5514	258.511	712.641
2.764	224.909	582.35
2.9766	189.518	451.122
3.1892	174.243	364.556
3.4018	181.293	351.583
3.6144	188.312	319.793
3.827	177.59	270.615
4.0397	156.864	283.299
4.2523	155.68	358.049
4.4649	212.812	384.477
4.6775	257.837	378.524
4.8901	250.241	312.645
5.1027	224.953	262.391
5.3153	199.829	284.7
5.528	197.287	496.925
5.7406	214.242	686.555
5.9532	260.117	801.496
6.1658	284.789	777.97
6.3784	267.708	1025.47
6.591	266.414	803.068
6.8036	246.937	546.909
7.0162	221.013	331.43
7.2289	224.428	273.344
7.4415	219.632	267.114
7.6541	200.739	247.761
7.8667	211.477	251.472
8.0793	246.428	290.244
8.2919	271.491	419.332
8.5045	279.56	663.56
8.7172	281.772	749.789
8.9298	303.203	749.334
9.1424	311.156	695.791
9.355	302.361	684.404
9.5676	269.594	736.839
9.7802	224.074	666.016
9.9928	207.665	407.293
10.2055	205.295	358.34
10.4181	166.563	208.056
10.6307	95.991	99.089
