Distance(µm)	H2AK119ub	Ser5 POLII
0	250.644	324.373
0.18329	427.222	541.119
0.36658	439.879	710.77
0.54986	450.262	813.644
0.73315	475.594	710.326
0.91644	470.592	729.968
1.09973	458.657	722.297
1.28301	456.329	869.915
1.4663	447.229	924.097
1.64959	411.373	974.486
1.83288	454.747	981.33
2.01616	560.013	797.403
2.19945	590.359	661.398
2.38274	627.002	580.468
2.56603	640.909	511.835
2.74931	618.922	684.037
2.9326	514.931	775.97
3.11589	436.64	868.773
3.29918	403.826	1106.947
3.48246	363.482	949.458
3.66575	348.925	826.575
3.84904	346.708	885.567
4.03233	337.387	892.204
4.21561	361.871	1038.816
4.3989	418.534	1306.375
4.58219	395.772	1077.215
4.76548	293.19	773.452
4.94876	248.91	754.151
5.13205	296.394	705.337
5.31534	434.159	507.317
5.49863	598.518	360.853
5.68191	740.754	272.113
5.8652	857.576	253.384
6.04849	922.514	300.393
6.23178	987.905	397.141
6.41506	1036.346	636.841
6.59835	933.932	843.763
6.78164	687.491	800.077
6.96493	504.444	674.804
7.14821	473.588	559.769
7.3315	516.987	570.896
7.51479	528.737	764.056
7.69808	508.221	1019.995
7.88136	448.164	992.486
8.06465	364.85	890.83
8.24794	332.037	941.851
8.43123	338.899	975.859
8.61451	339.645	994.183
8.7978	339.323	821.724
8.98109	312.859	553.492
9.16438	276.915	299.506
9.34766	231.196	216.396
9.53095	140.328	156.125
9.71424	55.044	52.028
