Distance(µm)	H2AK119ub	Ser5 POLII
0	74.864	41.902
0.21261	103.709	101.149
0.42523	162.196	169.746
0.63784	317.679	169.612
0.85045	372.508	159.342
1.06307	355.064	172.268
1.27568	308.417	174.802
1.48829	199.835	200.742
1.70091	123.308	190.364
1.91352	101.775	159.942
2.12614	112.046	117.671
2.33875	120.976	100.277
2.55136	154.8	105.648
2.76398	139.629	106.046
2.97659	126.566	110.676
3.1892	121.679	89.523
3.40182	116.599	77.06
3.61443	108.548	85.632
3.82704	115.799	109.23
4.03966	119.742	119.666
4.25227	112.717	117.212
4.46488	107.12	118.312
4.6775	120.198	116.1
4.89011	120.822	115.618
5.10273	107.729	121.791
5.31534	95.992	110.893
5.52795	81.869	81.355
5.74057	67.615	73.625
5.95318	60.213	73.675
6.16579	57.011	56.283
6.37841	57.514	58.3
6.59102	61.202	70.753
6.80363	47.565	83.413
7.01625	38.067	91.969
7.22886	52.467	68.475
