Distance_(microns)	DAPI	Gray_Value
0	222	106
0.12429	347.804	110.504
0.24858	422.05	136.933
0.37287	452.57	189.876
0.49716	436.122	257.371
0.62145	489.905	265.313
0.74574	571.946	363.264
0.87002	667.752	511.669
0.99431	664.914	582.503
1.1186	647.676	677.434
1.24289	617.794	749.865
1.36718	669.163	785.122
1.49147	640.616	732.516
1.61576	646.991	528.627
1.74005	687.959	398.818
1.86434	617.258	463.57
1.98863	694.683	570.703
2.11292	701.945	538.918
2.23721	642.129	340.007
2.3615	698.374	239.848
2.48579	875.069	194.932
2.61007	628.438	184.215
2.73436	708.122	162.347
2.85865	677.841	162.588
2.98294	640.034	163.996
3.10723	748.518	181.364
3.23152	870.287	193.472
3.35581	890.488	183.094
3.4801	898.595	164.893
3.60439	908.333	157.491
3.72868	879.85	148.483
3.85297	921.652	153.806
3.97726	885.769	171.086
4.10155	891.204	155.51
4.22584	863.597	145.033
4.35012	784.901	150.587
4.47441	856.609	131.195
4.5987	810.419	146.457
4.72299	791.37	134.354
4.84728	994.995	123.539
4.97157	683.953	124.052
5.09586	829.145	149.842
5.22015	702.851	146.983
5.34444	622.946	151.794
5.46873	654.449	148.714
5.59302	581.351	130.561
5.71731	495.019	138.1
5.8416	498.721	160.631
5.96589	537.763	154.927
6.09017	570.843	143.471
6.21446	577.295	126.736
6.33875	594.769	136.869
6.46304	576.022	140.935
6.58733	652.115	134.529
6.71162	576.619	152.614
6.83591	694.939	174
6.9602	531.562	134.463
7.08449	484.592	141.809
7.20878	607.927	152.267
7.33307	540.903	150.414
7.45736	571.426	152.492
7.58165	586.632	125.047
7.70594	506.102	140.621
7.83022	511.612	163.091
7.95451	460.651	137.352
8.0788	457.056	151.238
8.20309	579.816	136.776
8.32738	525.988	148.151
8.45167	597.56	148.905
8.57596	642.076	146.936
8.70025	630.033	160.182
8.82454	578.104	144.316
8.94883	578.795	144.743
9.07312	543.108	150.162
9.19741	560.343	173.237
9.3217	589.517	137.295
9.44599	610.844	143.795
9.57027	680	143
