Distance_(microns)	DAPI	XIST
0	821	405
0.2082	815.31	471.797
0.4164	955.277	479.731
0.6246	920.262	462.387
0.8327	857.661	454.239
1.0409	907.378	432.682
1.2491	885.459	447.932
1.4573	947.245	469.245
1.6655	954.803	471.244
1.8737	1057.973	455.041
2.0818	932.653	455.041
2.29	925.084	487.208
2.4982	1178.891	474.78
2.7064	1396.793	444.24
2.9146	1843.102	411.184
3.1228	2024.302	421.696
3.331	2200.32	456.871
3.5391	2224.218	433.614
3.7473	2193.482	425.399
3.9555	2247.666	447.15
4.1637	3166.938	396.699
4.3719	2521.755	461.98
4.5801	2449.787	408.421
4.7882	2516.801	449.008
4.9964	2413.312	450.461
5.2046	2442.743	460.912
5.4128	2580.185	425.486
5.621	2524.152	405.289
5.8292	2439.979	427.612
6.0374	2354.867	480.039
6.2455	2229.043	488.817
6.4537	2445.21	484.234
6.6619	2349.827	471.706
6.8701	2482.608	455.145
7.0783	2307.434	468.64
7.2865	2148.082	464.245
7.4946	2307.84	455.414
7.7028	2560.758	453.856
7.911	2545.241	474.792
8.1192	2799.532	427.117
8.3274	2922.836	443.546
8.5356	2367.7	481.659
8.7438	2236.551	512.245
8.9519	2298.227	472.855
9.1601	2471.294	445.899
9.3683	2519.073	441.82
9.5765	2642.205	428.279
9.7847	2512.356	423.732
9.9929	2537.582	468.763
10.201	2431	441
10.4092	2542.347	457.383
10.6174	2206.829	440.104
10.8256	2130.91	418.034
11.0338	2172.673	411.655
11.242	2158.51	411.86
11.4502	2024.377	424.815
11.6583	1992.612	441.327
11.8665	2110.625	473.305
12.0747	2243.749	500.585
12.2829	2013.038	451.142
12.4911	2027.758	531.129
12.6993	2156.868	647.172
12.9074	2228.654	564.427
13.1156	2159.082	580.571
13.3238	2134.485	517.567
13.532	2037.152	481.224
13.7402	2058.723	495.641
13.9484	2051.287	547.966
14.1565	2149.12	733.891
14.3647	2346.562	978.301
14.5729	2372.612	1085.184
14.7811	2821.876	1460.163
14.9893	3005.308	1899.629
15.1975	2631.442	1931.553
15.4057	2296.201	1268.447
15.6138	2114.928	783.718
15.822	2207.684	689.605
16.0302	2338.061	844.163
16.2384	2368.609	767.657
16.4466	2227.666	654.918
16.6548	2370.775	590.684
16.8629	2306.429	560.471
17.0711	2271.487	550.691
17.2793	2506.702	528.358
17.4875	2456.49	536.633
17.6957	2418.148	530.37
17.9039	2073.827	505.983
18.1121	2119.198	498.501
18.3202	2266.93	485.518
18.5284	2433.309	418.528
18.7366	2351.593	480.52
18.9448	2333.469	484.735
19.153	2221.435	500.974
19.3612	2075.975	506.05
19.5693	2090.352	516.002
19.7775	2307.092	537.199
19.9857	2076.943	532.107
20.1939	1901.53	592.515
20.4021	1812	601
