Distance_(microns)	dapi	XIST
0	329.474	451
0.208	311.085	462.986
0.416	329.059	436.282
0.625	341.643	436.268
0.833	357.567	465.93
1.041	350.522	507.07
1.249	345.056	686.662
1.457	336.906	829.155
1.665	337.441	1042.479
1.874	344.986	1232.704
2.082	335.44	1278.789
2.29	325.371	1462.662
2.498	314.897	1360.972
2.706	291.609	650.366
2.915	280.15	421.62
3.123	306.537	385.07
3.331	319.634	396.465
3.539	315.547	383.155
3.747	302.255	453.38
3.956	279.436	423.493
4.164	293.959	458.085
4.372	314.684	411.817
4.58	322.93	390.465
4.788	306.896	363.127
4.996	302.36	350
5.205	274.219	371.225
5.413	267.854	450.197
5.621	277.478	409.479
5.829	283.479	412.268
6.037	273.595	384.761
6.246	260.36	372.211
6.454	259.252	337.197
6.662	264.726	374.408
6.87	254.06	402.972
7.078	265.614	392.465
7.286	270.323	425.972
7.495	264.33	368.479
7.703	263.27	389.056
7.911	251.477	350.845
8.119	259.375	384.535
8.327	277.415	406.423
8.536	277.301	376.183
8.744	279.946	400.69
8.952	291.709	326.141
9.16	294.945	361.662
9.368	283.492	371.535
9.576	283.982	412.056
9.785	275.795	414.859
9.993	245.96	418.704
10.201	223.361	409.014
10.409	220.317	431
10.617	223.061	466.817
10.826	228.712	417.014
11.034	220.024	418.901
11.242	212.823	443.254
11.45	197.828	424.915
11.658	177.171	422.676
11.867	175.828	383.099
12.075	176.335	358.028
12.283	178.978	366.324
12.491	188.416	406.549
12.699	188.144	364.451
12.907	185.831	350.972
13.116	178.615	327.07
13.324	181.791	326.915
13.532	185.64	361.775
13.74	182.81	324.169
13.948	178.512	372.789
14.157	175.21	364.958
14.365	169.698	383.662
14.573	172.144	380.577
14.781	173.862	362
