Distance_(microns)	Gray_Value	XIST
0	290	271
0.2082	270.8	299.216
0.4164	298.606	345.456
0.6246	298.37	400.286
0.8327	285.125	421.775
1.0409	336.969	384.219
1.2491	354.306	359.062
1.4573	390.35	380.922
1.6655	480.3	383.1
1.8737	518.858	370.319
2.0818	623.156	389.062
2.29	838.686	364.63
2.4982	981.925	393.7
2.7064	1066.908	457.561
2.9146	1264.275	457.606
3.1228	1437.352	428.102
3.331	1591.2	435
3.5391	1681.928	568.08
3.7473	1635.562	678.025
3.9555	1852.628	849.064
4.1637	1967.375	874.125
4.3719	2201.92	954.567
4.5801	2228.038	841.044
4.7882	2335.353	810.869
4.9964	2392.8	725.1
5.2046	2262.945	696.141
5.4128	1846.131	674.487
5.621	1637.134	725.936
5.8292	1712.825	899.75
6.0374	2093.219	1198.533
6.2455	2478.625	1373.031
6.4537	2643.874	1140.559
6.6619	2494	745.2
6.8701	2130.298	470.911
7.0783	1905.162	432.844
7.2865	1893.258	420.75
7.4946	1890.225	385.325
7.7028	1643.466	410.038
7.911	1630.044	429.612
8.1192	1717.091	388.925
8.3274	1749	410
8.5356	1699.153	374.717
8.7438	1669.15	402.612
8.9519	1505.989	424.692
9.1601	1453.85	428.525
9.3683	1521.859	410.594
9.5765	1669.925	390.856
9.7847	1882.075	399.184
9.9929	1767.8	440.6
10.201	1821.03	420.75
10.4092	1842.156	409.156
10.6174	1747.25	424.575
10.8256	1323.575	353.5
11.0338	1117	351.402
11.242	975.519	375.269
11.4502	1177.461	379.617
11.6583	1158	368.7
11.8665	1023.537	381.333
12.0747	930.519	378.15
12.2829	976.983	419.806
12.4911	954.625	385.875
12.6993	1101.303	363.83
12.9074	1131.981	373.237
13.1156	1162.233	390.161
13.3238	1410.6	415.4
13.532	1591.852	391.609
13.7402	1637.619	408.375
13.9484	1509.405	425.048
14.1565	1556.25	423.55
14.3647	1734.88	428.484
14.5729	1378.875	407.094
14.7811	1326.188	416.248
14.9893	1318.3	444.9
15.1975	1112.252	378.717
15.4057	1176.819	360.875
15.6138	1355.508	394.992
15.822	1423.15	401.5
16.0302	1553.4	393.959
16.2384	1478.4	368.35
16.4466	1318.548	334.541
16.6548	1369	348
