Distance_(microns)	DAPI	XIST
0	255	293
0.2082	284.732	351.166
0.4164	266.155	312.88
0.6246	330.254	310.678
0.8327	330.92	349.811
1.0409	289.864	358.905
1.2491	274.974	409.318
1.4573	283.566	391.604
1.6655	205.937	356.008
1.8737	242.047	350.055
2.0818	288.579	417.711
2.29	485.161	468.544
2.4982	642.996	748.259
2.7064	1081.611	1186.9
2.9146	1717.28	2139.312
3.1228	1863.641	2814.928
3.331	1792.986	2957.889
3.5391	1831.445	2831.213
3.7473	2010.54	2890.447
3.9555	1812.657	2734.775
4.1637	1680.684	1754.538
4.3719	1521.201	1138.91
4.5801	1164.091	655.595
4.7882	1093.043	545.546
4.9964	1124.34	473.335
5.2046	1069.073	448.882
5.4128	985.537	464.618
5.621	1136.56	463.316
5.8292	1050.229	515.429
6.0374	976.58	547.212
6.2455	681.399	566.874
6.4537	562.261	546.867
6.6619	625.76	537.125
6.8701	687.316	548.548
7.0783	744.306	563.647
7.2865	797.07	531.535
7.4946	896.735	483.401
7.7028	815.985	483.895
7.911	766.407	482.538
8.1192	789.817	483.838
8.3274	905.761	488.911
8.5356	922	492
8.7438	857.061	451.029
8.9519	973.729	420.317
9.1601	1097.185	432.151
9.3683	1183.281	467.179
9.5765	1532.388	468.017
9.7847	1558.959	452.169
9.9929	1443.084	500.769
10.201	1465.141	552.675
10.4092	1607.686	492.772
10.6174	1444.88	465.297
10.8256	1316.675	500.799
11.0338	1480.719	529.43
11.242	1569.039	499.901
11.4502	1676.049	526.731
11.6583	1579.661	496.318
11.8665	1410.385	525.038
12.0747	1467.465	531.15
12.2829	1554.086	496.19
12.4911	1306.728	427.339
12.6993	1455.159	457.22
12.9074	1249.957	415.754
13.1156	1580.672	415.836
13.3238	1609.293	444.57
13.532	1495.782	421.992
13.7402	1339.721	426.374
13.9484	1496.601	461.971
14.1565	1552.277	449.092
14.3647	1506.04	421.675
14.5729	1463.719	483.86
14.7811	1519.112	459.519
14.9893	1689.549	478.448
15.1975	1406.976	468.947
15.4057	1567.911	422.449
15.6138	1420.593	476.253
15.822	1439.496	487.863
16.0302	1403.81	497.241
16.2384	1302.706	457.004
16.4466	1408.823	382.193
16.6548	1474.037	410.877
16.8629	1502.941	469.431
17.0711	1116	414
