Distance_(microns)	DAPI	XAIT
0	739	161
0.2082	738.081	175.845
0.4164	583.176	165.428
0.6246	722.198	158.667
0.8327	942.28	152.253
1.0409	826.618	154.181
1.2491	700.92	171.43
1.4573	689.549	157.202
1.6655	697.653	204.009
1.8737	644.258	166.708
2.0818	625.75	172.194
2.29	567.455	166.901
2.4982	565.16	169
2.7064	551.595	152.264
2.9146	651.229	158.497
3.1228	681.188	205.5
3.331	641.938	162.982
3.5391	577.185	159.379
3.7473	625.36	179.05
3.9555	764.514	169.49
4.1637	729.778	200.111
4.3719	858.213	207.87
4.5801	871.772	196.497
4.7882	707.521	238.066
4.9964	692	225.92
5.2046	687.319	221.618
5.4128	695.631	178.359
5.621	652.578	219.97
5.8292	772.24	170.969
6.0374	670.033	190.454
6.2455	732.75	176.25
6.4537	751.529	177.385
6.6619	693.649	162.502
6.8701	543.48	175.725
7.0783	668.343	174.951
7.2865	825.312	200.903
7.4946	829.92	178.28
7.7028	795.626	203.084
7.911	773.229	319.612
8.1192	863.56	425.845
8.3274	932.889	456.556
8.5356	1018.718	489.962
8.7438	884.38	784.12
8.9519	1025.605	1310.623
9.1601	847.347	837.458
9.3683	995.562	966
9.5765	909.726	972.97
9.7847	906.167	820.824
9.9929	749.16	529.68
10.201	700.78	393.591
10.4092	523.944	356.472
10.6174	409.4	220.967
10.8256	279.333	158.889
11.0338	149.722	156.913
11.242	125.17	142.5
11.4502	153.118	118.257
11.6583	113.809	111.969
11.8665	111.155	93.423
12.0747	108.471	79.55
12.2829	182.417	113.165
12.4911	92	93
