Distance_(microns)	DAPI	XIST
0	278	264
0.2082	279.419	266.848
0.4164	315.789	281.135
0.6246	312.498	350.035
0.8327	296.093	367.803
1.0409	313.388	384.702
1.2491	389.218	417.478
1.4573	333.654	344.574
1.6655	330.865	298.872
1.8737	345.336	301.99
2.0818	407.543	276.727
2.29	405.322	249.156
2.4982	537.066	244.46
2.7064	710.519	229.599
2.9146	857.623	258.561
3.1228	936.014	233.858
3.331	1014.536	206.287
3.5391	1069	232
3.7473	1211.699	261.644
3.9555	1137.266	430.488
4.1637	1174.183	697.543
4.3719	1353.727	390.727
4.5801	1340.401	245.626
4.7882	1475.087	250.924
4.9964	1437.017	243.602
5.2046	1366.197	309.242
5.4128	1765.668	750.183
5.621	1656.381	1049.412
5.8292	1669.201	1274.82
6.0374	1692.934	1152.201
6.2455	1455.304	1414.052
6.4537	1762.997	1641.952
6.6619	1579.969	1257.73
6.8701	1405.284	840.827
7.0783	1339	411
7.2865	1590.896	306.305
7.4946	1479.003	246.893
7.7028	1483.311	210.685
7.911	1600.201	205.758
8.1192	1688.46	202.592
8.3274	1789.675	227.965
8.5356	1905.273	231.709
8.7438	1858.128	203.713
8.9519	1751.775	189.066
9.1601	1591.163	186.841
9.3683	1444.253	201.322
9.5765	1412.664	226.63
9.7847	1537.211	293.01
9.9929	1511.201	276.526
10.201	1509.751	242.599
10.4092	1697.806	219.651
10.6174	1925	221
