Distance(µm)	H2AK119ub	Ser5 POLII
0	156	103.25
0.2126	370.628	135.002
0.4252	536.921	230.393
0.6378	677.082	432.115
0.8505	803.618	614.615
1.0631	879.654	713.407
1.2757	939.828	844.887
1.4883	986.585	948.537
1.7009	936.621	877.095
1.9135	920.531	853.288
2.1261	882.365	853.038
2.3387	757.008	796.732
2.5514	683.036	789.55
2.764	685.424	707.148
2.9766	797.095	633.495
3.1892	912.054	686.841
3.4018	876.03	744.15
3.6144	794.359	790.363
3.827	779.946	855.651
4.0397	940.796	874.193
4.2523	1165.969	783.321
4.4649	1286.125	682.938
4.6775	1288.018	597.536
4.8901	1266.519	567.92
5.1027	1183.282	622.416
5.3153	1043.892	697.33
5.528	868.665	666.135
5.7406	750.297	662.986
5.9532	635.4	703.34
6.1658	594.543	819.676
6.3784	584.273	840.832
6.591	599.155	775.278
6.8036	614.979	735.763
7.0162	609.96	715.688
7.2289	627.512	652.693
7.4415	614.375	625.938
7.6541	535.875	614.257
7.8667	473.229	580.308
8.0793	505.667	593.941
8.2919	614.351	714.725
8.5045	627.153	769.99
8.7172	604.96	752.564
8.9298	606.175	737.175
9.1424	666.319	702.295
9.355	738.193	683.545
9.5676	780.366	687.485
9.7802	806.287	687.51
9.9928	747.917	720.94
10.2055	658.863	799.995
10.4181	652.078	795.61
10.6307	719.5	753.513
10.8433	742.491	642.985
11.0559	755.3	662.685
11.2685	720.943	639.812
11.4811	666.93	607.759
11.6937	612.575	654.37
11.9064	593.56	677.6
12.119	617.528	601.642
12.3316	645.13	528.622
12.5442	653.894	512.009
12.7568	703.199	511.367
12.9694	759.984	537.453
13.182	736.206	589.174
13.3947	668.54	574.513
13.6073	630.927	637.351
13.8199	631.116	642.825
14.0325	638.16	671.894
14.2451	631.683	641.68
14.4577	633.159	583.757
14.6703	607.599	575.919
14.8829	495.25	543.375
