Distance(µm)	H2AK119ub	Ser5 POLII
0	139.461	277.242
0.21261	309.215	676.796
0.42523	457.01	932.607
0.63784	539.327	1212.745
0.85045	509.924	1400.594
1.06307	475.094	1299.783
1.27568	589.172	1364.188
1.48829	668.246	1444.839
1.70091	604.877	1116.396
1.91352	510.813	749.141
2.12614	440.753	641.386
2.33875	419.066	674.027
2.55136	477.252	716.585
2.76398	552.538	685.117
2.97659	656.463	577.89
3.1892	851.959	486.249
3.40182	1081.42	579.211
3.61443	1277.065	774.2
3.82704	1332.602	815.093
4.03966	1322.015	748.942
4.25227	1112.741	721.897
4.46488	799.832	865.477
4.6775	548.38	1149.297
4.89011	472.363	1255.578
5.10273	538.01	1207.273
5.31534	583.376	1014.506
5.52795	591.769	1138.916
5.74057	503.242	1310.366
5.95318	427.939	1297.366
6.16579	485.787	1052.935
6.37841	548.926	1185.799
6.59102	513.993	1178.009
6.80363	460.283	1180.386
7.01625	471.024	1020.669
7.22886	555.503	917.928
7.44147	516.117	922.064
7.65409	462.276	979.669
7.8667	379.936	1067.257
8.07931	332.497	976.878
8.29193	361.665	960.636
8.50454	382.923	875.258
8.71715	305.703	733.91
8.92977	160.71	432.954
