Distance	H2AK119ub	Ser5 POLII
0	138.387	96.802
0.2126	335.856	212.158
0.4252	527.31	358.345
0.6378	657.515	435.765
0.8505	670.999	350.206
1.0631	640.737	339.184
1.2757	595.424	396.344
1.4883	702.348	404.503
1.7009	722.073	363.263
1.9135	601.38	388.35
2.1261	369.926	625.793
2.3387	254.165	423.427
2.5514	203.411	419.198
2.764	212.29	504.518
2.9766	209.901	456.769
3.1892	224.938	476.343
3.4018	257.745	591.886
3.6144	271.964	711.77
3.827	257.111	691.364
4.0397	248.487	624.028
4.2523	235.382	535.753
4.4649	232.313	580.581
4.6775	230.028	626.365
4.8901	216.925	782.535
5.1027	217.046	796.115
5.3153	295.621	551.631
5.528	370.939	413.542
5.7406	440.223	428.321
5.9532	440.998	378.479
6.1658	431.36	434.882
6.3784	408.295	489.805
6.591	313.585	700.831
6.8036	235.324	842.923
7.0162	215.773	847.571
7.2289	255.017	673.846
7.4415	281.181	597.673
7.6541	289.648	602.948
7.8667	260.025	755.629
8.0793	195.8	875.803
8.2919	202.582	807.564
8.5045	249.562	643.113
8.7172	264.762	628.171
8.9298	226.583	599.873
9.1424	220.109	607.125
9.355	215.306	577.551
9.5676	206.39	553.525
9.7802	192.563	529.774
9.9928	194.154	540.706
10.2055	189.525	382.888
10.4181	196.89	405.607
10.6307	179.304	515.126
10.8433	153.076	452.923
11.0559	113.555	319.106
